社名,電話番号,所在地,代表者,事業内容,企業URL,URL,取得日時
株式会社AB&Company,0979-62-9592,東京都新宿区新宿二丁目16番6号新宿イーストスクエアビル6階,市瀬一浩,直営美容室運営事業フランチャイズ事業インテリアデザイン事業,https://ab-company.co.jp/jp/,https://baitona-joshi.jp/shop/004577/,2025/08/04/10:19
社会福祉法人円照寺八葉会,0979-64-8170,大分県中津市山国町宇曽579,矢幡一乗,,,https://baitona-joshi.jp/shop/004578/,2025/08/04/10:19
社会福祉法人九州キリスト教社会福祉事業団,0979-23-2668,中津市大字大塚字下の濱199,,,http://grace-hoikuen.net/index.html,https://baitona-joshi.jp/shop/004579/,2025/08/04/10:19
有限会社ヒロ,072-990-0058,大阪府八尾市天王寺屋7-5OKIビル2Ｆ,木本洋樹,美容室の経営,,https://baitona-joshi.jp/shop/004580/,2025/08/04/10:19
医療法人中道会中井クリニック近鉄八尾分院,072-998-6300,大阪府八尾市東本町3丁目4-16,髙藤浩範,,https://nakai.clinic/,https://baitona-joshi.jp/shop/004581/,2025/08/04/10:19
島田歯科医院,072-990-1321,大阪府八尾市南本町1-9-7,島田卓也,歯科診療,https://shimada-dent.com/,https://baitona-joshi.jp/shop/004582/,2025/08/04/10:19
谷口歯科クリニック,072-924-0008,大阪府八尾市龍華町2-1-1坂本ビル2階,谷口善三郎,歯科診療,https://yao-shika.com/,https://baitona-joshi.jp/shop/004583/,2025/08/04/10:19
医療法人もりかわ歯科八尾本町診療所,072-991-9700,大阪府八尾市本町5-4-7森川ビル1F,森川正章,歯科診療,https://morikawa-shika.net/,https://baitona-joshi.jp/shop/004584/,2025/08/04/10:19
医療法人髙橋矯正歯科クリニック,072-997-0008,大阪府八尾市光町1-64オカダビル4F,髙橋一郎,歯科診療,https://otonanohanarabi.com/,https://baitona-joshi.jp/shop/004585/,2025/08/04/10:19
ANCHOR,072-994-7221,大阪府八尾市安中町3-2-4PASIO2階,繁田成浩,,http://anchor-hairsalon.com/,https://baitona-joshi.jp/shop/004586/,2025/08/04/10:19
.siro,072-992-6339,,,,,https://baitona-joshi.jp/shop/004587/,2025/08/04/10:19
株式会社美容室Catch*i,072-922-1987,大阪府八尾市陽光園2-3-2GSハイム１F,森岡千代子,美容業務全般,http://catch-i.net/,https://baitona-joshi.jp/shop/004588/,2025/08/04/10:19
株式会社セリオ,072-983-5886,大阪市北区堂島1-5-17堂島グランドビル8F,黑﨑泰司,人材派遣・業務請負・人材紹介学童保育等の放課後施設の運営保育園の運営,https://www.serio-corp.com/,https://baitona-joshi.jp/shop/004589/,2025/08/04/10:19
株式会社32Plusone,049-265-8389,,北内摩耶,,https://www.32-plusone.com/,https://baitona-joshi.jp/shop/004590/,2025/08/04/10:19
EyelashsalonATRIUM,049-263-8007,,,,,https://baitona-joshi.jp/shop/004591/,2025/08/04/10:19
医療法人社団草芳会三芳野病院,049-259-3333,埼玉県入間郡三芳町北永井89-6,草野信一,,https://miyoshino.or.jp/,https://baitona-joshi.jp/shop/004592/,2025/08/04/10:19
そがべ歯科クリニック,049-262-8215,埼玉県富士見市ふじみ野西1-18-1第6松本ビル22,曽我部聡,一般的な歯科診療、小児歯科、予防歯科、矯正歯科、歯周病、ホワイトニング、美容診療、インプラント、歯科口腔外科、レーザー治療,https://www.sogabe-dental.com/,https://baitona-joshi.jp/shop/004594/,2025/08/04/10:19
株式会社Natural,049-256-7166,東京都北区赤羽台3-1-9,中羽亮太,,https://www.natural-hair-resort.jp/index.html,https://baitona-joshi.jp/shop/004595/,2025/08/04/10:19
株式会社Dash,049-267-3466,東京都新宿区新宿5-12-16DashBLDG.3F,田向秀行,美容業,https://www.dash-hairsalon.com/,https://baitona-joshi.jp/shop/004596/,2025/08/04/10:19
株式会社CommunityLinks,049-265-4618,埼玉県志木市本町５丁目２２番４号,樋口直樹,児童保育、企業研修,https://egaonohana-ryoiku.com/,https://baitona-joshi.jp/shop/004597/,2025/08/04/10:19
株式会社ソラスト,049-257-5142,東京都港区港南2-15-3品川インターシティC棟12階,野田亨,医療事業介護事業こども事業,https://www.solasto.co.jp/,https://baitona-joshi.jp/shop/004598/,2025/08/04/10:19
有限会社アイムインターナショナル,0748-34-4340,滋賀県草津市野路1丁目7-1アイムビル,今村意仁,,https://im-happy.jp/,https://baitona-joshi.jp/shop/004599/,2025/08/04/10:19
公益財団法人近江兄弟社,0570-01-5211,滋賀県近江八幡市円山町927-1,三ッ浪健一,,https://www.vories.or.jp/,https://baitona-joshi.jp/shop/004600/,2025/08/04/10:19
株式会社あきんどスシロー,0748-38-8415,大阪府吹田市江坂町１丁目22番6号,新居耕平,すしレストランの経営,https://www.akindo-sushiro.co.jp/company/profile.php,https://baitona-joshi.jp/shop/004601/,2025/08/04/10:19
株式会社カネ吉ヤマモトフーズ,0748-33-3055,滋賀県近江八幡市鷹飼町558,德地清匡,食肉、惣菜加工品の販売レストラン業,https://oumigyuu.co.jp/,https://baitona-joshi.jp/shop/004602/,2025/08/04/10:20
フジ歯科クリニック,0748-33-2824,滋賀県近江八幡市白鳥町8,藤関陽平,歯科・小児歯科・矯正歯科・審美歯科・予防歯科・インプラント,http://www.fuji-dc.jp/index.html,https://baitona-joshi.jp/shop/004603/,2025/08/04/10:20
クラウド歯科,0748-33-1100,滋賀県近江八幡市中村町21-12シオン1階,三宅将太,インプラント治療、矯正治療、セラミック,https://cloud-dental-clinic.com/,https://baitona-joshi.jp/shop/004604/,2025/08/04/10:20
株式会社B&C,0748-33-1200,京都市下京区烏丸通仏光寺下ル大政所町68-12階,大城範久,美容室の経営,http://b-and-c.jp/,https://baitona-joshi.jp/shop/004605/,2025/08/04/10:19
HAIRAS,0748-36-1451,滋賀県近江八幡市白鳥町29-1敷島第3マンション12,馬場満,,,https://baitona-joshi.jp/shop/004606/,2025/08/04/10:19
株式会社ニチイホールディングス,0748-31-0067,東京都千代田区神田駿河台4-6御茶ノ水ソラシティ,森信介,グループ会社の経営管理及びこれに付帯する業務,https://www.nichiigakkan.co.jp/,https://baitona-joshi.jp/shop/004607/,2025/08/04/10:20
サンヨーホームズコミュニティ株式会社,0748-38-8330,大阪市西区西本町１丁目４番１号,小山明,マンション管理事業建物管理事業保険代理店事業保育事業介護事業,https://www.sanyohomescommunity.co.jp/,https://baitona-joshi.jp/shop/004608/,2025/08/04/10:20
株式会社Blanc,077-582-5558,大阪市淀川区西中島5丁目12番8号エス・ティ・エスビル15F,山下晴之,アイラッシュサロン事業およびフランチャイズ本部事業アイラッシュスクール事業商品開発事業人財コンサルティング/店舗コンサルティング,https://www.blanc-group.co.jp/,https://baitona-joshi.jp/shop/004609/,2025/08/04/10:20
Nicohairsalon,077-509-7457,,,,,https://baitona-joshi.jp/shop/004610/,2025/08/04/10:20
医療法人さくら会守山さくら内科クリニック,077-582-6577,滋賀県守山市守山３－１－１３,尾柳知佐子,内科、神経内科、内分泌・糖尿病内科,https://www.moriyamasakuranaika.com/,https://baitona-joshi.jp/shop/004611/,2025/08/04/10:20
株式会社ＭＩＹＡＢＩ,077-582-1667,滋賀県守山市播磨田町391-1,高橋雅史,,https://www.babyface-moriyama.co.jp/,https://baitona-joshi.jp/shop/004612/,2025/08/04/10:20
秀吉家,077-583-2002,,,,,https://baitona-joshi.jp/shop/004613/,2025/08/04/10:20
医療法人おおた歯科こども歯科,077-596-5630,滋賀県守山市古高町81-5,太田貴司,一般歯科小児歯科予防歯科審美歯科口腔外科,https://ohta-dent.com/index.html,https://baitona-joshi.jp/shop/004614/,2025/08/04/10:20
モリタ歯科医院,077-582-1212,滋賀県守山市吉身3丁目1-12-1,森田潤,,https://www.morita-shika.com/,https://baitona-joshi.jp/shop/004615/,2025/08/04/10:20
株式会社B&C,077-583-7780,京都市下京区烏丸通仏光寺下ル大政所町68-12階,大城範久,美容室の経営,http://b-and-c.jp/,https://baitona-joshi.jp/shop/004616/,2025/08/04/10:20
株式会社AB&Company,077-596-5790,東京都新宿区新宿二丁目16番6号新宿イーストスクエアビル6階,市瀬一浩,直営美容室運営事業フランチャイズ事業インテリアデザイン事業,https://ab-company.co.jp/jp/,https://baitona-joshi.jp/shop/004617/,2025/08/04/10:20
株式会社JOYSEED,077-582-7766,滋賀県守山市吉身1-3-132F,有川景人,,https://716hoikuroom.com/,https://baitona-joshi.jp/shop/004618/,2025/08/04/10:20
LoveCurl,03-3437-5885,,,,,https://baitona-joshi.jp/shop/004619/,2025/08/04/10:20
株式会社Fortune,03-5843-7985,,,,,https://baitona-joshi.jp/shop/004620/,2025/08/04/10:20
株式会社bte,03-6274-6355,,,,,https://baitona-joshi.jp/shop/004621/,2025/08/04/10:20
東京鍼灸烏森通り,03-6205-8862,東京都港区新橋3-11-9烏森通りビル6F,鈴木貴大,鍼灸・整体施術及びスクール事業,https://tokyoharikyu.com/,https://baitona-joshi.jp/shop/004622/,2025/08/04/10:20
医療法人社団天宣会汐留健診クリニック,,東京都港区浜松町1-17-1,小金井佐知子,,https://shiodome-kenshin.com/index.html,https://baitona-joshi.jp/shop/004623/,2025/08/04/10:20
合同会社HapyRes,03-4400-8010,東京都渋谷区千駄ヶ谷5-16-16千駄ヶ谷フラワーマンション13,畠中健太,飲食店経営フランチャイズ事業,https://hapyres.com/,https://baitona-joshi.jp/shop/004624/,2025/08/04/10:20
浜松町デンタルオフィス,03-5401-2585,東京都港区浜松町２丁目２−１４KIビル１１,古屋英敬,,https://ha-taisetsu.jp/,https://baitona-joshi.jp/shop/004625/,2025/08/04/10:20
エドワード,03-3433-5544,,,,,https://baitona-joshi.jp/shop/004626/,2025/08/04/10:20
株式会社パソナフォスター,03-6674-8205,東京都港区南青山3-1-3PASONASQUARE,長畑久美子,,https://www.pasonafoster.co.jp/,https://baitona-joshi.jp/shop/004627/,2025/08/04/10:20
滋慶学園グループ,03-6435-3804,,浮舟邦彦,,https://www.jikeigroup.net/,https://baitona-joshi.jp/shop/004628/,2025/08/04/10:20
株式会社みんなのてもみ,042-397-5153,東京都千代田区内神田3-8-8秋山ビル3F,田村英明,,,https://baitona-joshi.jp/shop/004629/,2025/08/04/10:20
株式会社ヴィラ,042-306-3324,広島県呉市広本町1-13-1タクミビル5F,谷規正,・リラクゼーションサロンの運営・経営・フランチャイズ業・リラクゼーションサロンコンサルティング業・エステ事業・FC本部構築事業（フランチャイズ展開本部構築）・セラピスト養成スクール事業,https://www.asian-relaxation-villa.com/,https://baitona-joshi.jp/shop/004630/,2025/08/04/10:20
SiTonno,042-306-1478,,,,,https://baitona-joshi.jp/shop/004631/,2025/08/04/10:20
医療法人社団相明会パール歯科クリニック,042-396-7727,東京都東村山市栄町1−6−8中村ビル1F,川畑玲央奈,,https://soumeikai-pearl-shika.jp/,https://baitona-joshi.jp/shop/004632/,2025/08/04/10:20
有限会社ジェフ・ビーズ,,,,,,https://baitona-joshi.jp/shop/004633/,2025/08/04/10:20
AnnsGarden,042-306-2019,,,,,https://baitona-joshi.jp/shop/004634/,2025/08/04/10:20
株式会社Roseo,042-306-1558,,,,,https://baitona-joshi.jp/shop/004635/,2025/08/04/10:20
株式会社ロンド・スポーツ,042-306-4047,東京都東村山市栄町1-28ロンドプライムコート２階,五十棲絵里香,各種スポーツ施設及びカルチャー教室の経営並びにその付帯関連事業の受託運営1.フィットネスクラブの運営2.スクール事業の運営（スイミング、テニス、ゴルフ、カルチャー）3.ゴルフ練習場の運営4.保育所・民間学童保育所の運営,https://www.rondo-sports.co.jp/corporate,https://baitona-joshi.jp/shop/004636/,2025/08/04/10:20
株式会社アデランス,076-441-9989,東京都品川区東品川四丁目12番６号品川シーサイドキャナルタワー,根本信男,毛髪関連事業、ビューティ＆ヘルス事業、グループ会社の経営管理ならびにそれに付帯する事業,https://www.aderans.co.jp/corporate/,https://baitona-joshi.jp/shop/004637/,2025/08/04/10:20
中山整形外科クリニック,076-423-0840,,,,,https://baitona-joshi.jp/shop/004638/,2025/08/04/10:20
富山花園歯科,076-461-6671,富山県富山市花園町3-6-27,平木圭佑,,https://toyama-hanazono-dental.com/houmon,https://baitona-joshi.jp/shop/004639/,2025/08/04/10:20
株式会社アールエス・ケア,,,,,,https://baitona-joshi.jp/shop/004640/,2025/08/04/10:20
atelierCharmému,070-4776-1022,,,,,https://baitona-joshi.jp/shop/004641/,2025/08/04/10:20
Olga,047-718-6981,,,,,https://baitona-joshi.jp/shop/004642/,2025/08/04/10:20
シマダリビングパートナーズ株式会社,047-323-6298,東京都渋谷区代々木3丁目22番7号新宿文化クイントビル14階,島田成年,,https://shimada-slp.co.jp/,https://baitona-joshi.jp/shop/004643/,2025/08/04/10:20
株式会社カンケイ舎,047-397-0033,東京都中央区東日本橋2-8-5東日本橋グリーンビルアネックス７F,上野泰彦,居宅介護支援事業、訪問介護事業、通所介護事業、福祉用具貸与事業、施設介護事業,https://kankeisha.jp/,https://baitona-joshi.jp/shop/004644/,2025/08/04/10:20
ベルフラワー歯科,047-312-6036,千葉県市川市相之川4丁目6-51F,篠澤明日香,,https://bellflower-dental.com/,https://baitona-joshi.jp/shop/004645/,2025/08/04/10:20
今西歯科クリニック,047-396-6688,千葉県市川市南行徳1-16-27NANGYOスクエアビル2F,今西正樹,歯科一般・小児歯科・歯科口腔外科,http://imanishishika.jp/,https://baitona-joshi.jp/shop/004646/,2025/08/04/10:20
株式会社eileset,047-303-3381,千葉県市川市相之川４-5-15高橋駅前ビル1F,佐藤栄二,,,https://baitona-joshi.jp/shop/004647/,2025/08/04/10:20
株式会社リーディング.ラボ,047-711-4170,名古屋市中区錦2丁目19番19号広小路センタープレイス5F,小島誠司,保育園運営及び経理代行,https://yuzunoki-blog.net/,https://baitona-joshi.jp/shop/004648/,2025/08/04/10:20
五月女総合プロダクト株式会社,047-369-6877,栃木県栃木市川原田町1341-2,五月女善重,アミューズメント施設（パチンコ店等）、飲食店、スポーツクラブ、保育園、コンビニ、ボウリング場他の経営・運営,https://www.saotomesp.co.jp/index.php,https://baitona-joshi.jp/shop/004649/,2025/08/04/10:20
株式会社ハクブン,,神奈川県横浜市青葉区新石川3丁目15番23号,岩崎博文,美容室チェーンの管理・運営美容材料の仕入販売,https://hkbn.co.jp/,https://baitona-joshi.jp/shop/004650/,2025/08/04/10:20
株式会社日本ヒュウマップ,,東京都荒川区西日暮里5-15-7ダイナム綜合投資ビル,川野創平,飲食事業「めん六や」等経営清掃事業コーヒーサービス事業大型スパゲティｰ専門レストラン「オールド・スパゲティ・ファクトリー」経営不動産賃貸事業,https://www.humap.jp/,https://baitona-joshi.jp/shop/004651/,2025/08/04/10:20
フジファミリーフーズ,089-948-4980,愛媛県松山市宮西一丁目2番1号,小田恵治,,https://the-fff.com/,https://baitona-joshi.jp/shop/004652/,2025/08/04/10:20
JOBSHOP株式会社,089-909-3327,,,,,https://baitona-joshi.jp/shop/004653/,2025/08/04/10:20
和食みよし,089-932-1320,,,,,https://baitona-joshi.jp/shop/004654/,2025/08/04/10:20
MAQUIA（マキア）香椎店,092-719-0484,,,,,https://baitona-joshi.jp/shop/004655/,2025/08/04/10:20
株式会社BRIDGEGROUP,092-710-8332,福岡県福岡市西区生の松原2-3-46-13,橋野慶一郎,美容室経営エステサロン経営フランチャイズ店舗運営経営コンサルティング業不動産仲介業保険仲介業,https://www.xn--ddk2b8c.jp/,https://baitona-joshi.jp/shop/004656/,2025/08/04/10:20
アイブロウサロンi.（アイドット）香椎店,,,,,,https://baitona-joshi.jp/shop/004657/,2025/08/04/10:20
ロイヤルホールディングス株式会社,092-661-2534,福岡県福岡市博多区那珂三丁目28番5号,菊地唯夫,グループの経営を統括・管理する純粋持株会社,https://www.royal-holdings.co.jp/,https://baitona-joshi.jp/shop/004659/,2025/08/04/10:20
社会福祉法人清風会,028-661-7460,福岡市博多区金の隈3-24-55,手嶋常次,,https://www.seifu-kai.jp/,https://baitona-joshi.jp/shop/004660/,2025/08/04/10:20
社会福祉法人なごみ会,,神奈川県川崎市多摩区菅稲田堤3-9-2,梶山則行,,https://www.nagomi-fukushikai.jp/,https://baitona-joshi.jp/shop/004661/,2025/08/04/10:20
株式会社St.Belle.Co,092-672-0500,福岡県福岡市中央区赤坂1-14-37マルビル1F,古賀英敏,美容室・エステサロンの運営,https://sourire-hair.info/,https://baitona-joshi.jp/shop/004662/,2025/08/04/10:20
アーヴァイン株式会社,092-710-8101,福岡県福岡市東区香椎駅前１丁目１７－４３－９２,,,,https://baitona-joshi.jp/shop/004663/,2025/08/04/10:20
くら寿司株式会社,092-663-9610,大阪府堺市中区深阪1-2-2,田中邦彦,,https://www.kurasushi.co.jp/company/company/aboutus.php,https://baitona-joshi.jp/shop/004664/,2025/08/04/10:20
Thingsly,,,,,,https://baitona-joshi.jp/shop/004665/,2025/08/04/10:20
株式会社イーズ・インターナショナル,079-287-9588,大阪市中央区東心斎橋1-5-9東心斎橋ビル8F,宮本洋子,,https://e-s.co.jp/,https://baitona-joshi.jp/shop/004666/,2025/08/04/10:20
ライフワークデザイン株式会社,079-280-6253,,,,,https://baitona-joshi.jp/shop/004667/,2025/08/04/10:20
株式会社ジェイエムダブル,079-223-6033,大阪府池田市栄本町11番12号,竹歳守,理容室、美容室チェーン、FC本部,https://jmwg.jp/,https://baitona-joshi.jp/shop/004668/,2025/08/04/10:20
株式会社シュゼット・ホールディングス,079-223-1336,兵庫県西宮市久保町5-16ハーバースタジオ43南館,蟻田剛毅,菓子・パン類の製造・販売ならびに喫茶、左記に関する付帯業務,https://www.suzette.co.jp/,https://baitona-joshi.jp/shop/004669/,2025/08/04/10:20
株式会社きちりホールディングス,079-282-0123,東京都渋谷区渋谷一丁目17番2号12階,平川昌紀,レストラン経営における飲食事業、及び、食を中心に生まれるHospitalityの提案・提供事業。オープン・イノベーションとしてのCVC（コーポレート・ベンチャー・キャピタル）自社ブランドのフランチャイズ・ライセンス事業展開24/7面接プラットフォーム「InterviewCloud」の開発・販売ラグジュアリーブティックホテル「PlataranHotels&Resort」レストラン部門の日本国内における展開,https://www.kichiri.co.jp/,https://baitona-joshi.jp/shop/004670/,2025/08/04/10:20
ロイヤルホールディングス株式会社,079-282-8016,福岡県福岡市博多区那珂三丁目28番5号,菊地唯夫,グループの経営を統括・管理する純粋持株会社,https://www.royal-holdings.co.jp/,https://baitona-joshi.jp/shop/004671/,2025/08/04/10:20
株式会社ソシエ・ワールド,079-284-4136,東京都渋谷区代々木4-33-1トーシンビル3階,長田佳敏,ヘアーサロン、エステティックサロン、スポーツクラブ、アイビューティサロンの経営、関連商品の販売及び、それに付帯する一切の業務・ホテルスパ運営業務・訪問美容,https://www.socie-world.co.jp/,https://baitona-joshi.jp/shop/004672/,2025/08/04/10:20
社会福祉法人愛理会,,東京都墨田区東向島6-15-5,役美和,,https://www.airikai.org/,https://baitona-joshi.jp/shop/004673/,2025/08/04/10:20
合同会社ハシュアール,,兵庫県姫路市北条永良町186ストーンヒルズ11,竹内浩樹,,https://www.kamifuusenn.com/,https://baitona-joshi.jp/shop/004674/,2025/08/04/10:20
SatchmoEye,078-913-7711,,,,,https://baitona-joshi.jp/shop/004675/,2025/08/04/10:20
Weye＋,,,,,,https://baitona-joshi.jp/shop/004676/,2025/08/04/10:20
株式会社ネット・フィーリング,,神奈川県横浜市青葉区市ヶ尾町1155-4ファインレジデンス市ヶ尾ディアスタ48,横山哲也,ヘアカラー専門店の運営・開業支援、開業研修、運営コンサルタント、フランチャイズ事業、サンドペインティングスクールの運営、鍼灸・接骨院事業,https://colortrain.net/,https://baitona-joshi.jp/shop/004677/,2025/08/04/10:20
株式会社LH.works,,兵庫県加古川市加古川町粟津１７６プレアール粟津１Ｆ,松永伸一,,,https://baitona-joshi.jp/shop/004678/,2025/08/04/10:20
有限会社メディカルネット,078-919-5115,兵庫県神戸市須磨区北落合６丁目３－１－９１,,保険調剤薬局・介護事業・医療機器販売,http://medical-net.tv/index.html,https://baitona-joshi.jp/shop/004679/,2025/08/04/10:20
株式会社サイゼリヤ,078-915-0766,埼玉県吉川市旭2番地14,正垣泰彦,イタリア料理店「サイゼリヤ」をチェーン展開するフードサービス業,https://www.saizeriya.co.jp/corporate/,https://baitona-joshi.jp/shop/004680/,2025/08/04/10:20
田中ひでゆき歯科医院,078-914-8469,兵庫県明石市大明石町1丁目11-8,田中秀幸,歯科・小児歯科,https://www.tanakahideyuki-dc.com/,https://baitona-joshi.jp/shop/004681/,2025/08/04/10:20
株式会社ファイブスター,0467-38-6448,福岡県福岡市中央区舞鶴3丁目1-13さくらビル301号,早坂七恵,ネイルサロン事業,https://tru.salon/,https://baitona-joshi.jp/shop/004683/,2025/08/04/10:20
株式会社レック,0467-47-0289,,,,,https://baitona-joshi.jp/shop/004684/,2025/08/04/10:20
合同会社shiki,0467-33-5023,神奈川県鎌倉市大船1丁目23-26ニュー大船2F-A,,,https://shikinail.jp/,https://baitona-joshi.jp/shop/004685/,2025/08/04/10:20
株式会社REMIA,0467-81-3013,,,,https://remia.co.jp/,https://baitona-joshi.jp/shop/004686/,2025/08/04/10:20
ベレックス株式会社,0467-42-5001,東京都渋谷区神泉町21-3渋谷YTビル27階,八藤浩志,【ネイルサロン事業】ネイルサロン及び美容に関する店舗の運営フランチャイズ管理ネイル及び美容に関する技術者の養成及び指導ネイル関連商品（ポリッシュ・ファイル等）、化粧品の輸出入及び販売ネイルケアアイテムの販売,https://belle-x.com/,https://baitona-joshi.jp/shop/004687/,2025/08/04/10:20
あべ歯科クリニック,,神奈川県鎌倉市岡本2-5-11第二大観ビル1Ｆ,阿部智之,,https://www.ensen-ado.com/abe-shika/index.html,https://baitona-joshi.jp/shop/004688/,2025/08/04/10:20
ル・ジャルダングループ,045-392-3125,神奈川県相模原市中央区中央4-12-6,,,https://www.ljd.jp/,https://baitona-joshi.jp/shop/004689/,2025/08/04/10:20
sunchairtreatment/spaサンク【大船・鎌倉・湘南】,0467-33-6230,,,,,https://baitona-joshi.jp/shop/004690/,2025/08/04/10:20
株式会社パソナフォスター,,東京都港区南青山3-1-3PASONASQUARE,長畑久美子,,https://www.pasonafoster.co.jp/,https://baitona-joshi.jp/shop/004691/,2025/08/04/10:20
株式会社キャンアイドレッシー,0467-38-8836,埼玉県さいたま市大宮区桜木町2-6-12-5F,関口明弘,,https://canidressy.com/,https://baitona-joshi.jp/shop/004692/,2025/08/04/10:20
楽々堂,075-278-7997,,,,,https://baitona-joshi.jp/shop/004693/,2025/08/04/10:20
株式会社はあと,070-9126-2837,京都府京都市下京区鍵屋町347-1,小原麻央,ネイルサロン・美容製品開発及び販売・フランチャイズ運営,https://heartnail.jp/,https://baitona-joshi.jp/shop/004694/,2025/08/04/10:20
ISA伏見桃山店,075-622-4458,,,,,https://baitona-joshi.jp/shop/004695/,2025/08/04/10:20
社会福祉法人永山会,075-605-1026,京都市伏見区下鳥羽但馬町15番地,津田知宏,,https://soseien.jp/,https://baitona-joshi.jp/shop/004696/,2025/08/04/10:20
医療法人健幸会むかいじま病院,075-612-3101,京都府京都市伏見区向島四ツ谷池5,大濵史朗,,https://mukaijima-hospital.or.jp/,https://baitona-joshi.jp/shop/004697/,2025/08/04/10:20
株式会社はま寿司,,東京都港区港南2-18-1JR品川イーストビル,町野岳,回転寿司チェーンの経営,https://www.hama-sushi.co.jp/company/,https://baitona-joshi.jp/shop/004698/,2025/08/04/10:20
中山歯科医院,,京都府京都市伏見区表町574-1,中山崇久,,https://dc-nakayama.com/,https://baitona-joshi.jp/shop/004699/,2025/08/04/10:20
医療法人恵駿会陰山歯科京都院,,京都府京都市伏見区南新地4-4ブランドールO&A1階,陰山恵三,歯科、小児歯科、歯科口腔外科/訪問歯科,http://www.kageyama-dental.com/16611519413413,https://baitona-joshi.jp/shop/004700/,2025/08/04/10:20
株式会社Blanc,,大阪市淀川区西中島5丁目12番8号エス・ティ・エスビル15F,山下晴之,アイラッシュサロン事業およびフランチャイズ本部事業アイラッシュスクール事業商品開発事業人財コンサルティング/店舗コンサルティング,https://www.blanc-group.co.jp/,https://baitona-joshi.jp/shop/004701/,2025/08/04/10:20
ユタカ株式会社,070-1730-5549,,,,,https://baitona-joshi.jp/shop/004702/,2025/08/04/10:20
株式会社ベアハグ,075-541-2673,東京都中央区銀座8丁目4-232階ベアハグ,成田樹士,リラクゼーション業（整体、エステティック、接骨、鍼灸、マッサージ）、老人福祉・介護事業、児童福祉事業、人材派遣業、民営職業紹介事業、学校教育,https://www.bearhug.co.jp/,https://baitona-joshi.jp/shop/004703/,2025/08/04/10:20
洛和会ヘルスケアシステム,075-343-1274,京都市山科区音羽八ノ坪51-4,矢野裕典,医療事業、介護事業、保育事業、教育事業,https://www.rakuwa.or.jp/,https://baitona-joshi.jp/shop/004704/,2025/08/04/10:20
ロイヤルホールディングス株式会社,075-585-5730,福岡県福岡市博多区那珂三丁目28番5号,菊地唯夫,グループの経営を統括・管理する純粋持株会社,https://www.royal-holdings.co.jp/,https://baitona-joshi.jp/shop/004705/,2025/08/04/10:20
株式会社B&C,075-241-4367,京都市下京区烏丸通仏光寺下ル大政所町68-12階,大城範久,美容室の経営,http://b-and-c.jp/,https://baitona-joshi.jp/shop/004706/,2025/08/04/10:20
バルニバービスピリッツ＆カンパニー株式会社,,大阪市西区南堀江一丁目14番26号,向井夏樹,飲食店の運営,https://www.balnibarbi.com/,https://baitona-joshi.jp/shop/004707/,2025/08/04/10:20
株式会社アートネイチャー,072-233-2323,東京都渋谷区代々木3-4-7,五十嵐祥剛,各種毛髪製品の製造販売増毛・育毛サービスの提供ヘアケア商品の販売,https://corp.artnature.co.jp/ja/index.html,https://baitona-joshi.jp/shop/004708/,2025/08/04/10:20
あゆみ歯科ゆうこ堺診療所,072-232-4182,大阪府堺市堺区大浜北町１丁２−１大阪管財ビル１階,,歯科、小児歯科、口腔外科,https://www.ayumisika.com/,https://baitona-joshi.jp/shop/004709/,2025/08/04/10:20
社会福祉法人リアン,072-229-3322,大阪府堺市堺区南清水町１丁５番１号,森大輔,,https://rian-child.com/minamishimizu/,https://baitona-joshi.jp/shop/004710/,2025/08/04/10:20
株式会社きちりホールディングス,072-232-2228,東京都渋谷区渋谷一丁目17番2号12階,平川昌紀,レストラン経営における飲食事業、及び、食を中心に生まれるHospitalityの提案・提供事業。オープン・イノベーションとしてのCVC（コーポレート・ベンチャー・キャピタル）自社ブランドのフランチャイズ・ライセンス事業展開24/7面接プラットフォーム「InterviewCloud」の開発・販売ラグジュアリーブティックホテル「PlataranHotels&Resort」レストラン部門の日本国内における展開,https://www.kichiri.co.jp/,https://baitona-joshi.jp/shop/004711/,2025/08/04/10:20
asianrelaxationvilla（アジアンリラクゼーションヴィラ）ふじみ野店,049-293-6818,,,,,https://baitona-joshi.jp/shop/004712/,2025/08/04/10:20
THEC,,,,,,https://baitona-joshi.jp/shop/004713/,2025/08/04/10:20
医療法人社団草芳会三芳野第2病院,049-261-0502,埼玉県ふじみ野市大原2-1-16,草野信一,,https://second.miyoshino.or.jp/,https://baitona-joshi.jp/shop/004714/,2025/08/04/10:20
株式会社フライングガーデン,049-256-5122,栃木県小山市本郷町三丁目4番18号,野沢八千万,レストランチェーン事業,http://www.fgarden.co.jp/,https://baitona-joshi.jp/shop/004715/,2025/08/04/10:20
医療法人社団掛川歯科医院,,埼玉県ふじみ野市上福岡6-3-4,掛川達彦,,https://www.kakegawa-dental.jp/,https://baitona-joshi.jp/shop/004716/,2025/08/04/10:20
カンプロ株式会社,,茨城県水戸市吉沢町567,秋葉良孝,,https://yuzuriha-hoikuen.com/,https://baitona-joshi.jp/shop/004717/,2025/08/04/10:20
Monifa,080-5920-0074,,,,,https://baitona-joshi.jp/shop/004718/,2025/08/04/10:20
Name,049-265-7783,,,,,https://baitona-joshi.jp/shop/004719/,2025/08/04/10:20
Nicowith,070-1805-5522,,,,,https://baitona-joshi.jp/shop/004720/,2025/08/04/10:20
